model,feature_set,n_obs,overall_RMSE,overall_MAE,overall_DA,overall_R2_OOS,lowvol_RMSE,lowvol_MAE,lowvol_DA,lowvol_R2_OOS,highvol_RMSE,highvol_MAE,highvol_DA,highvol_R2_OOS
rf_conservative,minimal,161,0.021842513744814173,0.016108215981102295,42.857142857142854,-0.025044260493737758,0.020689250677939204,0.015627157271830516,42.58064516129032,-0.042647153268782434,0.04176396167193984,0.028535565970623216,50.0,0.07406078256655413
rf_conservative,standard,161,0.021869423248875655,0.016075940987875688,44.72049689440994,-0.027571480950995486,0.020613362193864882,0.01559219841845336,43.87096774193549,-0.03501229037023812,0.043090178204931565,0.028572624031285843,66.66666666666666,0.014320595954846693
ridge_a1,full,161,0.022021952055430137,0.01638199775946701,50.931677018633536,-0.04195510901564892,0.02119115656759115,0.01605437053418938,49.03225806451613,-0.09384845782650975,0.03758211645009903,0.024845701079139096,100.0,0.25020667565045906
rf_moderate,minimal,161,0.022082747026571026,0.016386734093448544,47.82608695652174,-0.04771600326157044,0.020982877334224232,0.01591941187616676,47.096774193548384,-0.07245214437035852,0.04136767140530533,0.02845922470656127,66.66666666666666,0.09154953457135817
rf_aggressive,full,161,0.022122928310034075,0.016920262199383442,43.47826086956522,-0.05153227435203478,0.021342238278393773,0.01655134647347641,42.58064516129032,-0.10950117651577451,0.03695973303325509,0.02645058511864833,66.66666666666666,0.27483513687482763
rf_moderate,standard,161,0.02217928751870012,0.016396330787333404,44.099378881987576,-0.056896755433365476,0.020906144562186736,0.01588637734121286,43.225806451612904,-0.0646227359980498,0.043691878532612013,0.02957012814544736,66.66666666666666,-0.01339915271936909
rf_aggressive,standard,161,0.02218586996716892,0.016539929396260637,45.3416149068323,-0.057524187742057364,0.02122017245806404,0.016099619934683434,44.516129032258064,-0.09684600221947948,0.03968716952612795,0.027914590487004967,66.66666666666666,0.16385931818479238
rf_aggressive,minimal,161,0.02221503939909344,0.016574159180275924,45.3416149068323,-0.06030682899378559,0.021266236163539266,0.016148122575333396,44.516129032258064,-0.10161312931633026,0.039487550714742504,0.027580104807957945,66.66666666666666,0.1722494175528465
ridge_a0.1,full,161,0.022365673000320697,0.016737068430868394,48.4472049689441,-0.07473483272981674,0.021756201235676766,0.016478200580992034,47.096774193548384,-0.15295928952857452,0.03456744768756532,0.023424487886007737,83.33333333333334,0.365672221865178
gbr_moderate,minimal,161,0.023035776962950227,0.01755694202957518,49.68944099378882,-0.14010043874468892,0.022416433926877533,0.017268215889087977,49.03225806451613,-0.22399850738319937,0.035466442393885286,0.025015700658827942,66.66666666666666,0.3322492944129588
gbr_moderate,standard,161,0.023176490474913155,0.017631351929610718,42.857142857142854,-0.1540715343094654,0.02261942525035078,0.017300644440927358,42.58064516129032,-0.24626663830468654,0.034586007855827446,0.026174628720597625,50.0,0.36499086459056196
gbr_moderate,full,161,0.02323730679040923,0.018212456737188434,38.50931677018634,-0.16013616820769272,0.02271654891195343,0.0179318438246151,38.064516129032256,-0.256992096085094,0.034032125958682345,0.025461623645332682,50.0,0.3851668695147614
gbr_aggressive,full,161,0.025043226425315732,0.019401473543022206,40.37267080745342,-0.3474663957544517,0.025138203269586896,0.019391868010008622,40.0,-0.5392753184482373,0.022450826616389332,0.01964961647920643,50.0,0.7324260847510933
gbr_aggressive,minimal,161,0.025644961954463325,0.018850825051119225,52.79503105590062,-0.4129978502565528,0.025150275903820688,0.01863430048975916,51.61290322580645,-0.5407541488943639,0.0361496363767979,0.024444376219587605,83.33333333333334,0.30627560323364356
gbr_aggressive,standard,161,0.026089531601536275,0.019328211077224978,45.962732919254655,-0.46241269018697095,0.02567846877133965,0.019071761660823285,45.16129032258064,-0.6061499335133793,0.03507697861108227,0.02595315433426874,66.66666666666666,0.34683416891033747
