date,n_events_total,n_events_oil,oil_goldstein_mean,oil_goldstein_std,oil_tone_mean,oil_tone_std,oil_mentions_sum,oil_articles_sum,oil_verbal_coop,oil_material_coop,oil_verbal_conflict,oil_material_conflict,oil_n_conflict_events,oil_conflict_goldstein,oil_conflict_share,oil_material_conflict_share,oil_net_coop,global_goldstein_mean,global_tone_mean
2025-10-08,132425,51491,0.5899263949039638,4.652788430509605,-1.9869722651946284,4.273989666785011,543044,528616,31246,6068,6676,7501,7068,-7.736997736276175,0.27532966926258956,0.14567594336874407,0.4493406614748208,0.5830227149157252,-1.875880950345486
2025-10-09,137843,51982,0.6121522834827441,4.673546734516761,-1.7656250981167805,4.173914329841917,547400,531538,32092,5837,6394,7659,7169,-7.788910587250663,0.27034358047016277,0.14733946366049785,0.4593128390596745,0.7986876373845607,-1.4455540364558932
2025-10-10,133130,51191,0.6269539567502099,4.645434018135283,-1.626399492395654,4.305428199102035,561407,546284,31159,6048,6513,7471,6970,-7.682467718794835,0.2731730186946924,0.14594362290246332,0.45365396261061514,0.7341838804176369,-1.508716276371923
2025-10-11,82055,30592,0.7183675470711297,4.643000235564347,-1.6161257080920057,4.344356235367605,293323,285692,19046,3614,3592,4340,4114,-7.81866796305299,0.2592834728033473,0.14186715481171547,0.4814330543933054,0.6446127597343245,-1.6537937482099174
2025-10-12,71720,22892,0.6209592870871921,4.672007472825249,-1.8781089854468456,4.035970442268988,226752,221402,14241,2583,2859,3209,3034,-7.962557679630851,0.2650707670802027,0.1401799755373056,0.4698584658395946,0.5322071946458449,-2.0062602029452927
2025-10-13,123656,39115,0.9750453790106097,4.56665662244586,-1.4349859876314834,4.116092853503994,377992,369186,25181,4614,4421,4899,4714,-7.771616461603734,0.23827176275086284,0.12524606928288382,0.5234564744982744,0.9832672899010156,-1.5701964460720657
2025-10-14,134355,48240,0.7843366500829188,4.655849050771,-1.6249720653086788,4.202904451269151,489065,476790,30085,5551,6142,6462,6243,-7.837417908057024,0.2612769485903814,0.13395522388059702,0.47744610281923716,0.81163708086785,-1.5463316540171417
2025-10-15,133509,49900,0.6592164328657315,4.620742470038644,-1.761834239699525,4.118979510083029,512501,495917,31010,5660,6439,6791,6631,-7.799155481827778,0.2651302605210421,0.13609218436873746,0.46973947895791585,0.6818813712933209,-1.7831907289663733
2025-10-16,140587,55596,0.6459745305417656,4.580932317308656,-1.9256296080539625,4.15686150963355,560596,546023,34388,6363,7236,7609,7361,-7.683616356473306,0.2670156126340024,0.13686236419886322,0.4659687747319951,0.6751872532631505,-1.8222472764418924
2025-10-17,137323,55424,0.7264596564665128,4.54449820148733,-1.9999838248368267,4.093857504648746,560114,545181,34855,6132,7041,7396,7202,-7.560330463760066,0.2604828233256351,0.13344399538106236,0.4790343533487298,0.6588379663683172,-1.8795733653464615
